id,place,tag_list,count,avg_score,first_tag,second_tag,third_tag,fourth_tag,fifth_tag
36,롯데아울렛 서울역점,"['쇼핑', '가격', '비싸다', '싸다, 저렴하다', '구매', '상품', '음식, 식사']",68,3.573529412,쇼핑,가격,비싸다,"싸다, 저렴하다","싸다, 저렴하다"
37,스타일난다 핑크호텔,"['음식, 식사', '재미', '쇼핑', '비싸다', '호텔', '상품', '휴식']",17,4.4117647060000005,"음식, 식사",재미,쇼핑,비싸다,비싸다
38,아이파크몰,"['쇼핑', '음식, 식사', '아이', '먹다', '영화', '시장', '비싸다']",49,3.7346938780000003,쇼핑,"음식, 식사",아이,먹다,먹다
39,동대문 밀리오레,"['쇼핑', '가격', '싸다, 저렴하다', '구매', '상품', '비싸다', '아이']",47,3.468085106,쇼핑,가격,"싸다, 저렴하다",구매,구매
40,롯데 영플라자 명동점,"['쇼핑', '비싸다', '호텔', '돈', '싸다, 저렴하다', '상품', '음식, 식사']",27,3.62962963,쇼핑,비싸다,호텔,돈,돈
41,서울약령시장,"['시장', '재미', '구매', '자연', '관광지']",6,4.5,시장,재미,구매,자연,자연
42,두타,"['쇼핑', '음식, 식사', '비싸다', '싸다, 저렴하다', '가격', '관광지', '상품']",64,3.5625,쇼핑,"음식, 식사",비싸다,"싸다, 저렴하다","싸다, 저렴하다"
43,망원시장,"['시장', '음식, 식사', '먹다', '싸다, 저렴하다', '가격', '쇼핑', '관광지']",24,4.0,시장,"음식, 식사",먹다,"싸다, 저렴하다","싸다, 저렴하다"
44,메세나폴리스몰,"['쇼핑', '음식, 식사', '비싸다', '먹다', '영화', '싸다, 저렴하다', '여유']",55,3.872727273,쇼핑,"음식, 식사",비싸다,먹다,먹다
45,광희 패션몰,"['시장', '가격', '싸다, 저렴하다', '쇼핑', '상품', '돈', '먹다']",6,4.333333333,시장,가격,"싸다, 저렴하다",쇼핑,쇼핑
